face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces\109_face0.jpg,Middle Eastern,White,Female,20-29,"[0.14473289 0.00121932 0.13077676 0.0017196  0.00665987 0.08597052
 0.62892103]",[0.83310956 0.00588297 0.00338219 0.1576253 ],[9.658392e-05 9.999034e-01],"[2.1793534e-08 9.0236772e-06 1.2118579e-02 6.9577694e-01 2.8031859e-01
 1.1650506e-02 1.2376234e-04 2.5216748e-06 6.5897382e-08]"
detected_faces\10_face0.jpg,Middle Eastern,White,Male,30-39,"[5.8618322e-02 4.6536105e-04 5.6160439e-02 4.1295731e-04 5.1679992e-04
 5.0498112e-03 8.7877631e-01]",[9.82218862e-01 3.18890030e-04 1.45223485e-02 2.93989899e-03],[9.9995309e-01 4.6868463e-05],"[3.5215974e-06 1.3827668e-05 1.9391141e-03 1.5685312e-01 6.7551857e-01
 1.6203777e-01 3.5349857e-03 9.5884046e-05 3.2289959e-06]"
detected_faces\110_face0.jpg,White,Asian,Male,30-39,"[4.4120601e-01 1.8088316e-04 1.3479373e-01 9.1907457e-02 2.9768566e-02
 7.5260433e-04 3.0139071e-01]",[1.6250935e-01 2.5583775e-04 8.3639640e-01 8.3839515e-04],[0.59350485 0.4064952 ],"[1.2213617e-06 8.7000235e-06 7.9733564e-04 6.1694931e-02 4.9823478e-01
 3.9430529e-01 4.3799046e-02 1.1276796e-03 3.0895146e-05]"
detected_faces\111_face0.jpg,Middle Eastern,White,Female,30-39,"[3.9008427e-01 4.6105761e-04 6.1874367e-02 1.4573373e-04 1.7435891e-03
 1.5428534e-01 3.9140558e-01]",[8.8959140e-01 9.7878488e-05 6.5008347e-04 1.0966064e-01],[0.04519504 0.95480496],"[1.8032857e-06 9.1120179e-05 7.8882724e-03 3.6601627e-01 4.6065477e-01
 1.4172460e-01 2.1704592e-02 1.6917790e-03 2.2675993e-04]"
detected_faces\112_face0.jpg,White,White,Female,30-39,"[0.50962514 0.00428281 0.27537027 0.00470542 0.00747721 0.00413068
 0.1944085 ]",[0.9183623  0.02035173 0.01731172 0.04397422],[0.00262211 0.9973779 ],"[3.8642615e-06 6.6701854e-05 4.6784179e-03 1.2221669e-01 5.1967007e-01
 2.9811263e-01 5.2141894e-02 3.0618215e-03 4.7951075e-05]"
detected_faces\113_face0.jpg,Middle Eastern,Indian,Male,40-49,"[1.0754409e-02 2.1540438e-05 1.1238269e-02 3.3729539e-05 2.1236515e-04
 3.5236757e-02 9.4250292e-01]",[0.23133714 0.00084222 0.00649465 0.761326  ],[9.998949e-01 1.050858e-04],"[1.07552851e-05 1.10420704e-04 8.76117777e-03 1.57719225e-01
 3.30119431e-01 4.06727165e-01 9.11106318e-02 5.11885807e-03
 3.22280626e-04]"
detected_faces\114_face0.jpg,White,White,Female,20-29,"[9.2097044e-01 4.2846546e-05 4.9188808e-03 8.1213977e-05 1.3942488e-04
 1.5631065e-03 7.2284125e-02]",[0.98295474 0.00178884 0.00235255 0.01290385],[0.00383488 0.9961651 ],"[8.5944845e-07 1.6072100e-04 2.6174825e-02 6.5825957e-01 2.9009888e-01
 2.4560738e-02 7.1694376e-04 2.5727295e-05 1.7256532e-06]"
detected_faces\115_face0.jpg,Black,Black,Male,50-59,"[5.4629979e-04 7.5901437e-01 1.7031023e-01 8.6743436e-05 1.2231872e-03
 6.8329990e-02 4.8914406e-04]",[5.2184745e-04 8.7073785e-01 7.5958797e-04 1.2798072e-01],[9.997369e-01 2.630607e-04],"[5.2797590e-05 2.8082270e-05 8.0947881e-05 2.7772057e-04 1.1194386e-02
 2.9482675e-01 6.1485529e-01 7.7418730e-02 1.2653014e-03]"
detected_faces\116_face0.jpg,Latino_Hispanic,Asian,Female,30-39,"[0.09824581 0.00902959 0.6763525  0.04531416 0.11580808 0.01102807
 0.04422187]",[0.18621016 0.02695674 0.7590781  0.02775506],[0.00112411 0.9988759 ],"[9.9573765e-07 1.3567587e-04 2.1357324e-02 4.5936617e-01 4.7380248e-01
 4.4022635e-02 1.2804121e-03 3.3608500e-05 6.9551288e-07]"
detected_faces\117_face0.jpg,White,White,Male,30-39,"[9.9635422e-01 5.0307321e-05 8.9479639e-04 3.5113942e-05 1.0382107e-04
 3.3482781e-04 2.2268661e-03]",[9.9869591e-01 1.4509958e-04 1.0561551e-04 1.0533811e-03],[9.9999940e-01 6.3036504e-07],"[2.4208376e-07 5.8255123e-06 1.7816289e-03 2.5351232e-01 5.9840095e-01
 1.4025624e-01 5.9966352e-03 4.5096593e-05 1.0215012e-06]"
detected_faces\118_face0.jpg,White,White,Male,20-29,"[8.4908605e-01 3.6103120e-03 8.2208276e-02 6.4230326e-04 1.5372754e-03
 3.4998055e-03 5.9416033e-02]",[0.9802211  0.00543079 0.00736177 0.00698635],[9.999534e-01 4.664001e-05],"[5.6894180e-07 1.7804841e-05 6.1426163e-03 5.0841606e-01 4.6559379e-01
 1.9600119e-02 2.2237829e-04 6.2564386e-06 4.3001430e-07]"
detected_faces\119_face0.jpg,Indian,Indian,Male,40-49,"[1.0943394e-03 1.6196778e-02 1.6155291e-02 4.0687992e-06 1.3512143e-04
 9.1752559e-01 4.8888773e-02]",[3.6049171e-04 5.7646949e-03 4.3878859e-05 9.9383092e-01],[0.990374   0.00962602],"[2.8080269e-06 3.4831173e-05 6.1350851e-04 7.3749130e-03 2.0447321e-01
 5.7578683e-01 2.0622204e-01 5.1781731e-03 3.1375486e-04]"
detected_faces\11_face0.jpg,East Asian,Asian,Male,50-59,"[0.00209319 0.00083489 0.00794824 0.60931486 0.37607652 0.00131706
 0.00241518]",[0.00640031 0.00343227 0.9861584  0.00400898],[9.9957496e-01 4.2503292e-04],"[4.1853705e-06 1.8739560e-05 6.2274840e-04 5.6850198e-03 5.5679232e-02
 2.9811761e-01 4.9776015e-01 1.3551106e-01 6.6012950e-03]"
detected_faces\120_face0.jpg,White,White,Male,50-59,"[8.3035690e-01 9.9186364e-05 1.3102583e-02 4.8668170e-04 3.7476869e-04
 1.6348091e-03 1.5394495e-01]",[9.7003311e-01 4.5436164e-04 2.3582589e-02 5.9299199e-03],[9.9974096e-01 2.5904918e-04],"[3.6180034e-05 4.8582311e-05 2.9421099e-03 1.9470546e-02 2.9920654e-02
 1.5466388e-01 4.9863645e-01 2.8055403e-01 1.3727602e-02]"
detected_faces\121_face0.jpg,Middle Eastern,White,Female,20-29,"[0.09519605 0.01520756 0.41870877 0.0021417  0.00214951 0.0328572
 0.43373922]",[0.42911264 0.4202648  0.01569592 0.13492662],[1.202063e-04 9.998798e-01],"[1.0281998e-08 1.5215176e-05 3.1618666e-02 8.2592320e-01 1.4072357e-01
 1.7068002e-03 1.2308976e-05 1.5249414e-07 2.5061406e-09]"
detected_faces\122_face0.jpg,East Asian,Asian,Female,20-29,"[5.3546025e-04 9.2679495e-04 1.7796457e-03 8.9880013e-01 9.7474985e-02
 3.3770778e-04 1.4529958e-04]",[8.5698592e-04 1.9320421e-04 9.9747765e-01 1.4722426e-03],[0.4725958 0.5274042],"[0.00113777 0.04829116 0.10621142 0.34414187 0.32950625 0.13236228
 0.03081913 0.00667002 0.00086003]"
detected_faces\123_face0.jpg,Black,Black,Female,20-29,"[1.5397699e-03 8.8911068e-01 4.2277113e-02 3.0258586e-04 4.1520339e-03
 6.1233610e-02 1.3842506e-03]",[0.00080466 0.68864316 0.00664305 0.30390918],[0.06089032 0.9391096 ],"[8.0273742e-07 9.7464959e-05 4.4763520e-02 7.7217001e-01 1.7534666e-01
 7.4754953e-03 1.4153963e-04 4.1701387e-06 2.7852431e-07]"
detected_faces\124_face0.jpg,Latino_Hispanic,Indian,Male,0-2,"[0.09392081 0.0374339  0.36338335 0.13244908 0.2015894  0.14695846
 0.02426498]",[0.03628298 0.01923222 0.13136707 0.81311774],[0.68041694 0.31958306],"[9.3746799e-01 6.1424427e-02 3.0499205e-04 2.8578451e-04 3.1716775e-04
 1.4842616e-04 4.0081868e-05 9.6271187e-06 1.5084386e-06]"
detected_faces\125_face0.jpg,White,White,Male,30-39,"[8.13140512e-01 2.02330513e-04 6.03057481e-02 1.82565767e-03
 1.99613790e-03 1.79284625e-03 1.20736755e-01]",[9.8917139e-01 9.0940775e-05 9.8899547e-03 8.4776297e-04],[9.998619e-01 1.381046e-04],"[5.3621402e-06 3.1917254e-05 2.3568184e-03 6.8158314e-02 4.6718115e-01
 4.2465699e-01 3.6953714e-02 6.4321171e-04 1.2628068e-05]"
detected_faces\126_face0.jpg,East Asian,Asian,Female,20-29,"[6.2780315e-04 1.8590593e-04 3.2462250e-03 8.5753435e-01 1.3763253e-01
 4.0400214e-04 3.6908415e-04]",[1.8783382e-04 1.4388602e-04 9.9961680e-01 5.1487736e-05],[0.03514382 0.9648562 ],"[5.9991817e-07 1.0664349e-04 6.0718428e-02 7.0556712e-01 2.1882387e-01
 1.4309505e-02 4.3492217e-04 3.7505779e-05 1.4047837e-06]"
detected_faces\127_face0.jpg,White,White,Female,3-9,"[9.2474443e-01 8.4026788e-06 8.9139212e-03 1.8511389e-04 3.0967730e-04
 2.2717631e-04 6.5611370e-02]",[9.98924255e-01 1.09725326e-04 3.43634834e-04 6.22374413e-04],[0.03208204 0.967918  ],"[4.7987290e-02 9.4360787e-01 8.0811782e-03 2.7404758e-04 4.4723551e-05
 4.6443811e-06 1.9668593e-07 1.6690565e-08 5.5461862e-09]"
detected_faces\128_face0.jpg,Indian,Indian,Female,20-29,"[0.05222968 0.00607599 0.19421446 0.05773811 0.24058764 0.31775376
 0.13140038]",[0.4281863  0.01367492 0.0592432  0.4988956 ],[0.00914795 0.990852  ],"[1.5701700e-06 1.6611298e-03 1.4322700e-01 6.3758659e-01 2.0147993e-01
 1.5319640e-02 6.5381371e-04 6.4900414e-05 5.4505394e-06]"
detected_faces\129_face0.jpg,Black,Black,Female,10-19,"[7.6426313e-06 9.9987751e-01 8.4470681e-05 1.9444997e-06 1.2290346e-05
 1.4738555e-05 1.3425816e-06]",[9.3194012e-06 9.9958116e-01 3.6429621e-05 3.7302295e-04],[0.4243471  0.57565284],"[5.6685472e-04 2.7077460e-01 5.8041781e-01 1.3901168e-01 8.5396357e-03
 6.7437236e-04 1.4059591e-05 8.2541044e-07 1.9326112e-07]"
detected_faces\12_face0.jpg,Southeast Asian,Asian,Male,20-29,"[1.6303426e-02 2.1583026e-03 5.9244893e-02 3.1030357e-01 6.1005813e-01
 4.5236657e-04 1.4792908e-03]",[1.3683796e-02 7.7547197e-04 9.8529392e-01 2.4670374e-04],[0.99783856 0.00216148],"[6.2034718e-07 7.1158000e-05 5.5324219e-02 7.4597347e-01 1.9030613e-01
 8.0418447e-03 2.7106094e-04 1.1000999e-05 5.3688422e-07]"
detected_faces\130_face0.jpg,White,Black,Male,40-49,"[0.52598953 0.04550668 0.29850966 0.00073346 0.00092948 0.01197817
 0.11635302]",[0.17270915 0.71779877 0.00155621 0.10793583],[9.995442e-01 4.558142e-04],"[2.5921641e-05 5.2500760e-05 1.7304278e-03 2.9725354e-02 2.4524339e-01
 4.7689614e-01 2.2086260e-01 2.4547912e-02 9.1572502e-04]"
detected_faces\132_face0.jpg,Middle Eastern,White,Female,3-9,"[3.4979698e-01 1.7683151e-04 9.7935542e-02 1.4741755e-03 1.5728362e-03
 1.8476328e-03 5.4719597e-01]",[9.9670392e-01 8.5156193e-05 1.9686222e-03 1.2423687e-03],[0.2398666 0.7601334],"[2.1060318e-02 9.4046891e-01 3.5093967e-02 1.8027612e-03 1.0650322e-03
 4.3770220e-04 5.6366669e-05 1.1835910e-05 3.1468905e-06]"
detected_faces\133_face0.jpg,Indian,Indian,Male,3-9,"[0.00909963 0.14348711 0.24009272 0.01146803 0.0732467  0.50400585
 0.01859993]",[0.0045867  0.10172548 0.06664632 0.82704145],[0.808677 0.191323],"[7.4191093e-02 9.0314156e-01 2.1763945e-02 5.1213184e-04 2.4969145e-04
 1.1632112e-04 1.7828825e-05 5.9929289e-06 1.3763391e-06]"
detected_faces\134_face0.jpg,Middle Eastern,White,Male,30-39,"[3.0089802e-01 2.7175061e-04 2.9637780e-02 1.0465099e-05 3.6854224e-05
 2.6696537e-02 6.4244860e-01]",[7.294968e-01 6.435263e-04 9.282855e-05 2.697669e-01],[0.99814504 0.00185496],"[5.8981885e-07 2.1973601e-05 2.5419374e-03 2.4140805e-01 7.0878345e-01
 4.6922062e-02 3.1856677e-04 3.2832640e-06 1.0426899e-07]"
detected_faces\135_face0.jpg,White,White,Female,30-39,"[9.5372605e-01 1.2203897e-04 4.2339731e-03 9.7499877e-05 8.1011116e-05
 8.2308205e-04 4.0916294e-02]",[9.9894506e-01 4.2189415e-05 3.7153131e-05 9.7572803e-04],[0.01448053 0.98551947],"[3.4310483e-06 1.6705602e-04 1.4508743e-02 2.7604729e-01 4.0906197e-01
 2.4034792e-01 5.5203408e-02 4.1157384e-03 5.4433639e-04]"
detected_faces\136_face0.jpg,Indian,Indian,Female,50-59,"[3.4767848e-03 4.5460701e-04 1.5507841e-03 2.2753781e-04 1.1061911e-03
 9.9045134e-01 2.7327719e-03]",[3.3064312e-04 1.5724376e-04 1.3452669e-03 9.9816686e-01],[0.00624292 0.9937571 ],"[7.3152405e-05 3.6342043e-04 7.2660530e-04 3.1649577e-03 3.5008151e-02
 1.7478800e-01 5.1572102e-01 2.4311982e-01 2.7034936e-02]"
detected_faces\137_face0.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.14062129 0.03743331 0.48775545 0.07366457 0.20849282 0.00607986
 0.04595273]",[0.12958975 0.15261762 0.5622029  0.15558982],[0.96634054 0.03365947],"[1.0671880e-05 1.9680840e-04 1.5775049e-02 4.9143675e-01 4.2441356e-01
 6.4505458e-02 3.4421405e-03 2.0174602e-04 1.7790471e-05]"
detected_faces\138_face0.jpg,Black,Black,Male,40-49,"[3.5469362e-05 9.9968600e-01 8.2976912e-05 2.1375636e-06 1.2068346e-05
 1.5865044e-04 2.2834100e-05]",[1.8466495e-04 9.9582487e-01 1.9148401e-03 2.0756267e-03],[9.9997216e-01 2.7894710e-05],"[2.2178926e-06 2.4089973e-06 5.0859922e-05 9.8623894e-03 1.5974931e-01
 5.1496887e-01 2.7936342e-01 3.2911565e-02 3.0889260e-03]"
detected_faces\139_face0.jpg,East Asian,Asian,Female,20-29,"[8.6390035e-04 1.6331694e-04 1.0137821e-02 7.6535487e-01 2.2316581e-01
 1.6376437e-04 1.5051074e-04]",[2.5379661e-04 1.9827366e-04 9.9949533e-01 5.2619238e-05],[0.05199208 0.94800794],"[4.4516614e-06 8.6856313e-04 7.7227987e-02 4.5461556e-01 3.6948627e-01
 9.1744378e-02 5.3085946e-03 7.2873262e-04 1.5503692e-05]"
detected_faces\13_face0.jpg,East Asian,Asian,Male,20-29,"[0.22141798 0.01538762 0.10471994 0.34382853 0.312009   0.00064097
 0.00199605]",[0.2506882  0.05125534 0.6967103  0.00134617],[9.9935186e-01 6.4808904e-04],"[5.3731617e-07 9.9000114e-05 3.8801324e-02 7.4931449e-01 1.8771678e-01
 2.2341276e-02 1.6405162e-03 8.0600934e-05 5.5074520e-06]"
detected_faces\140_face0.jpg,East Asian,Asian,Female,20-29,"[1.6289365e-03 2.5184816e-05 2.8577028e-03 9.1290665e-01 8.2163662e-02
 1.4815303e-04 2.6966061e-04]",[3.7839343e-03 1.3700685e-04 9.9547851e-01 6.0050882e-04],[0.01141777 0.9885822 ],"[4.2119200e-06 1.9180382e-04 4.4894688e-02 7.2961915e-01 2.0717500e-01
 1.7258782e-02 7.6439639e-04 8.9550085e-05 2.4761760e-06]"
detected_faces\141_face0.jpg,White,Indian,Male,10-19,"[0.3201697  0.04783087 0.18869245 0.00065924 0.00380136 0.12358105
 0.3152654 ]",[0.2478231  0.04687154 0.07908832 0.62621707],[0.83751434 0.16248558],"[6.2891077e-06 1.2040051e-01 8.4035957e-01 3.8170401e-02 1.0354685e-03
 2.7461523e-05 2.8132854e-07 3.2869799e-08 4.1013357e-09]"
detected_faces\142_face0.jpg,East Asian,Asian,Male,20-29,"[7.7685392e-03 1.5994934e-05 4.8444648e-03 9.4421268e-01 4.2825326e-02
 9.9305244e-06 3.2307833e-04]",[5.2733120e-02 4.3693866e-04 9.4675869e-01 7.1233393e-05],[9.999960e-01 3.976195e-06],"[9.41487201e-07 3.46876550e-05 2.42098235e-02 5.25560975e-01
 4.19349343e-01 2.93632355e-02 1.37072231e-03 1.08597764e-04
 1.66949530e-06]"
detected_faces\143_face0.jpg,Latino_Hispanic,Indian,Male,20-29,"[0.00965179 0.00472674 0.4265694  0.00049774 0.00931709 0.35439608
 0.19484124]",[0.00400482 0.00184944 0.01074466 0.98340106],[9.9998343e-01 1.6621736e-05],"[7.4819248e-08 1.2685039e-05 3.2634925e-02 8.0717391e-01 1.5578437e-01
 4.3568742e-03 3.5857771e-05 1.2224209e-06 3.4246941e-08]"
detected_faces\144_face0.jpg,East Asian,Asian,Male,70+,"[0.00599307 0.00362737 0.00119949 0.591468   0.39437518 0.00137273
 0.00196432]",[4.6919100e-04 1.7102028e-04 9.9909753e-01 2.6232723e-04],[0.9586237  0.04137627],"[2.9519727e-04 6.5330975e-04 8.9760072e-04 8.4933797e-03 1.5189708e-02
 4.3830317e-02 1.6885488e-01 3.7551346e-01 3.8627207e-01]"
detected_faces\145_face0.jpg,White,White,Male,30-39,"[5.8271366e-01 5.3833757e-04 2.4268189e-02 1.9019390e-05 7.6450633e-05
 6.0760607e-03 3.8630828e-01]",[9.9635273e-01 5.6545454e-04 8.6213178e-05 2.9956168e-03],[9.999366e-01 6.344573e-05],"[6.8746192e-07 4.9308774e-06 2.0560094e-04 3.1451780e-02 5.9850615e-01
 3.5835889e-01 1.1300620e-02 1.6618028e-04 5.1609186e-06]"
detected_faces\146_face0.jpg,East Asian,Asian,Male,40-49,"[2.8922086e-04 1.3488707e-03 8.5256910e-03 5.4031110e-01 4.4526279e-01
 4.0788604e-03 1.8346109e-04]",[8.3458173e-05 4.3360764e-04 9.9561626e-01 3.8666513e-03],[0.86637795 0.133622  ],"[2.5542457e-05 1.9167762e-04 1.0887586e-03 7.7860323e-03 1.0308333e-01
 4.7688001e-01 3.2249680e-01 8.5538186e-02 2.9096727e-03]"
detected_faces\147_face0.jpg,Southeast Asian,Asian,Male,30-39,"[1.2916636e-02 2.9097151e-03 4.3881703e-02 1.2953062e-01 7.9891974e-01
 1.1260903e-02 5.8066961e-04]",[2.3324901e-02 2.4832491e-04 9.5759499e-01 1.8831866e-02],[0.9986281  0.00137192],"[6.4480270e-07 2.8402699e-04 1.8726397e-02 2.2433776e-01 5.2300781e-01
 2.1133578e-01 2.2107501e-02 1.9175194e-04 8.3208179e-06]"
detected_faces\148_face0.jpg,Southeast Asian,Asian,Male,30-39,"[0.01752471 0.00168159 0.0599444  0.42042935 0.48743019 0.00544737
 0.00754239]",[7.3911820e-04 9.3071535e-04 9.9506044e-01 3.2696945e-03],[0.99874115 0.00125888],"[5.2174578e-06 9.7505435e-05 9.9863429e-03 3.5426760e-01 4.3902901e-01
 1.7719577e-01 1.8296596e-02 1.0878113e-03 3.4061919e-05]"
detected_faces\149_face0.jpg,Indian,Indian,Male,50-59,"[4.3772123e-04 4.2325254e-03 4.7739721e-03 2.3219061e-06 2.4905163e-04
 8.3541733e-01 1.5488707e-01]",[4.0331524e-04 3.0240084e-03 2.1911306e-04 9.9635357e-01],[9.99991e-01 8.97587e-06],"[4.3013911e-06 1.1700281e-05 2.1133861e-04 1.2860323e-03 1.6034195e-02
 2.4847072e-01 5.9197176e-01 1.2820603e-01 1.3803987e-02]"
detected_faces\14_face0.jpg,Indian,Indian,Male,10-19,"[1.6797367e-04 1.6546754e-02 1.2465539e-02 5.4867975e-05 3.6754508e-03
 9.6534306e-01 1.7463521e-03]",[2.6802565e-05 4.6083489e-03 5.3223711e-04 9.9483258e-01],[9.9997312e-01 2.6879408e-05],"[1.80552081e-06 9.70380306e-02 8.86438429e-01 1.55672915e-02
 8.87164497e-04 6.64813488e-05 7.69172118e-07 2.36189273e-08
 8.79359974e-10]"
detected_faces\150_face0.jpg,Latino_Hispanic,Black,Male,10-19,"[0.01064346 0.20091578 0.4518849  0.01148231 0.12720641 0.07467224
 0.12319489]",[0.0121081  0.5683186  0.3530851  0.06648812],[0.87082314 0.12917678],"[1.0092981e-05 1.5205746e-02 7.1743780e-01 2.4305204e-01 2.2075612e-02
 2.1335897e-03 7.4264390e-05 1.0363612e-05 6.0734857e-07]"
detected_faces\151_face0.jpg,Black,Black,Female,20-29,"[0.01184806 0.67780674 0.07714838 0.03152367 0.17961513 0.01779275
 0.00426531]",[0.0026358  0.9912828  0.00224466 0.00383671],[0.01798946 0.9820105 ],"[1.7900899e-04 1.6101807e-02 9.9351071e-02 7.6565629e-01 1.1417820e-01
 4.2455532e-03 2.6030454e-04 2.5776852e-05 1.8920758e-06]"
detected_faces\152_face0.jpg,Middle Eastern,White,Male,20-29,"[3.1771339e-02 1.1580974e-05 2.1543654e-03 3.3995613e-05 5.9822214e-05
 5.3366704e-04 9.6543521e-01]",[9.8408347e-01 5.9403514e-04 1.3134098e-02 2.1884204e-03],[9.9994040e-01 5.9571288e-05],"[2.6217750e-08 3.1431216e-06 2.1087609e-03 6.5111446e-01 3.4477362e-01
 1.9969973e-03 2.9367038e-06 6.1423655e-08 1.6573523e-09]"
detected_faces\154_face0.jpg,Middle Eastern,White,Male,30-39,"[0.26025337 0.00527776 0.21288458 0.0005684  0.00140343 0.0231011
 0.49651134]",[0.9926057  0.00120517 0.00114066 0.0050486 ],[9.9977297e-01 2.2700017e-04],"[7.0841190e-07 1.3749081e-05 2.0272853e-03 2.7992165e-01 6.5697354e-01
 6.0216177e-02 8.2655513e-04 1.9600448e-05 7.8346841e-07]"
detected_faces\156_face0.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.07046695 0.15289576 0.31247857 0.10281058 0.19410153 0.09162565
 0.07562092]",[0.02897401 0.00909289 0.9083266  0.05360653],[0.9989635  0.00103649],"[1.0161076e-06 1.7060725e-04 4.1536752e-02 7.3991376e-01 2.1099165e-01
 7.1346862e-03 2.4033998e-04 1.0399189e-05 8.3832532e-07]"
detected_faces\157_face0.jpg,White,Asian,Male,20-29,"[8.3617014e-01 6.3565865e-05 2.1952372e-02 7.7815592e-02 1.7833883e-02
 2.0177038e-03 4.4146724e-02]",[3.9802238e-01 1.2207386e-04 5.8376843e-01 1.8087180e-02],[0.98618746 0.01381257],"[1.1522573e-06 2.7283860e-04 2.1341184e-01 7.5838530e-01 2.7399402e-02
 5.2090589e-04 8.1006428e-06 5.2407484e-07 3.1678692e-08]"
detected_faces\159_face0.jpg,Latino_Hispanic,Asian,Female,20-29,"[0.10727625 0.02274759 0.38272324 0.22562335 0.1329038  0.08557907
 0.04314668]",[0.14323422 0.0421231  0.7271824  0.08746028],[0.00252818 0.9974718 ],"[1.0228406e-05 1.4494217e-03 5.5504385e-02 6.6800696e-01 2.5857547e-01
 1.5748790e-02 6.5780600e-04 4.4681761e-05 2.2586676e-06]"
